identifier,score,label
02_15__hugging_happy__MZWH8ATN.mp4,91.900791,1
12__podium_speech_happy.mp4,2.621689,0
18_11__talking_against_wall__PT4YKO2R.mp4,99.995264,1
28__kitchen_pan.mp4,5.852962,0
09__exit_phone_room.mp4,1.893978,0
10__walking_down_street_outside_angry.mp4,0.111478,0
01_02__meeting_serious__YVGY8LOK.mp4,92.028989,1
20__podium_speech_happy.mp4,0.493192,0
19__outside_talking_pan_laughing.mp4,0.280334,0
04__talking_angry_couch.mp4,0.952890,0
28__secret_conversation.mp4,14.800795,0
27__meeting_serious.mp4,23.075316,0
07__outside_talking_pan_laughing.mp4,1.968293,0
02_07__talking_against_wall__O4SXNLRL.mp4,99.996891,1
08__walk_down_hall_angry.mp4,6.964557,0
20_13__outside_talking_pan_laughing__C50CSOEX.mp4,98.917758,1
02__talking_against_wall.mp4,0.013218,0
19__walking_down_street_outside_angry.mp4,49.070689,0
02_15__meeting_serious__MZWH8ATN.mp4,68.077816,1
02_21__talking_angry_couch__Z0XHPQAR.mp4,99.913874,1
04__walking_down_street_outside_angry.mp4,5.084078,0
27_02__kitchen_pan__B3XHKO27.mp4,90.939081,1
03_15__walking_outside_cafe_disgusted__Y11NT1YX.mp4,93.574214,1
15_12__outside_talking_still_laughing__RK17XFJ9.mp4,99.751722,1
21_09__hugging_happy__Z8H2TRCI.mp4,85.736651,1
07_04__kitchen_pan__XRK7FGZX.mp4,95.891830,1
06_11__outside_talking_pan_laughing__C8C4FW99.mp4,98.796574,1
16__hugging_happy.mp4,0.999652,0
25_18__talking_against_wall__SEGFKFJG.mp4,99.710594,1
09_02__exit_phone_room__6KUOFMZW.mp4,99.996591,1
21__talking_against_wall.mp4,0.087929,0
28__exit_phone_room.mp4,10.238880,0
17__walking_down_street_outside_angry.mp4,0.086180,0
01__hugging_happy.mp4,10.754685,0
04_26__outside_talking_still_laughing__WX836VLY.mp4,99.434266,1
02_07__kitchen_still__TBLYQBIY.mp4,80.901884,1
14_09__walking_down_indoor_hall_disgust__6TEK3ZX0.mp4,99.430136,1
28_16__secret_conversation__R1QD0XDQ.mp4,88.940782,1
03__talking_angry_couch.mp4,6.626086,0
16_05__hugging_happy__053HPS1G.mp4,99.478831,1
18_03__exit_phone_room__22UBC0BS.mp4,98.787442,1
27_18__talking_against_wall__3GLHD5MH.mp4,97.751349,1
21__kitchen_pan.mp4,0.850277,0
11__podium_speech_happy.mp4,0.002179,0
02__walk_down_hall_angry.mp4,5.037696,0
04_18__exit_phone_room__6J3ZFEJQ.mp4,95.966091,1
11__exit_phone_room.mp4,5.208395,0
20_09__talking_angry_couch__0IRM5ADD.mp4,65.589987,1
16__exit_phone_room.mp4,0.940436,0
25_21__walking_outside_cafe_disgusted__2R46UX3R.mp4,97.249255,1
20__outside_talking_pan_laughing.mp4,0.942108,0
07__hugging_happy.mp4,0.910524,0
13__talking_angry_couch.mp4,18.121265,0
24_19__exit_phone_room__0ZFOV5ZE.mp4,97.017582,1
03__secret_conversation.mp4,47.387498,0
18_14__kitchen_still__0YRBHIKG.mp4,86.617470,1
12__secret_conversation.mp4,50.497169,0
14__walk_down_hall_angry.mp4,46.697932,0
04_21__kitchen_still__HY1VWEJK.mp4,99.491778,1
03__outside_talking_still_laughing.mp4,0.350322,0
23__walking_outside_cafe_disgusted.mp4,2.567010,0
06_15__talking_against_wall__QRCD27P8.mp4,99.990721,1
20_03__hugging_happy__Z6V05FXO.mp4,96.807390,1
25_12__walk_down_hall_angry__I2X1XTCC.mp4,91.478761,1
13_12__secret_conversation__2TM4IFSF.mp4,99.347639,1
06_26__walk_down_hall_angry__L5BVR5L9.mp4,99.989113,1
17__hugging_happy.mp4,1.982338,0
09_03__walk_down_hall_angry__8DTEGQ54.mp4,99.805917,1
07__talking_against_wall.mp4,0.458760,0
24__kitchen_still.mp4,0.350661,0
28__podium_speech_happy.mp4,1.813153,0
20__outside_talking_still_laughing.mp4,5.532842,0
28__walking_outside_cafe_disgusted.mp4,3.417886,0
26_12__walk_down_hall_angry__BFBNM8FR.mp4,97.996894,1
06_26__kitchen_pan__L5BVR5L9.mp4,90.425907,1
20_18__outside_talking_pan_laughing__8BMQOD7S.mp4,99.994612,1
14_03__walk_down_hall_angry__7JPPCV50.mp4,99.999655,1
17_08__walking_down_indoor_hall_disgust__JZYRLJ8T.mp4,79.719384,1
02_09__kitchen_still__6KUOFMZW.mp4,86.532155,1
21__walk_down_hall_angry.mp4,1.541539,0
02_12__walking_and_outside_surprised__9D2ZHEKW.mp4,49.831655,1
06_02__podium_speech_happy__N8OSN8P6.mp4,99.351873,1
16__outside_talking_pan_laughing.mp4,8.951601,0
13_02__outside_talking_still_laughing__2YSYT2N3.mp4,99.986712,1
14__kitchen_pan.mp4,0.142991,0
24_19__walking_outside_cafe_disgusted__GNHYZ84G.mp4,98.422922,1
01_27__talking_against_wall__ZYCZ30C0.mp4,98.775347,1
02_15__walking_down_indoor_hall_disgust__HTG660F8.mp4,46.833702,1
03_26__podium_speech_happy__WBSXBL82.mp4,95.191348,1
04_26__kitchen_still__WX836VLY.mp4,99.425116,1
19__talking_against_wall.mp4,0.204001,0
03_02__walking_and_outside_surprised__GYX5OFTD.mp4,86.970012,1
02_15__meeting_serious__N864L40U.mp4,68.413981,1
03__walking_outside_cafe_disgusted.mp4,10.986451,0
17__outside_talking_pan_laughing.mp4,7.295795,0
16_17__walk_down_hall_angry__EWJJTZHY.mp4,95.927756,1
01_09__walk_down_hall_angry__P70H1JB0.mp4,99.940929,1
13__hugging_happy.mp4,28.251235,0
01_27__outside_talking_still_laughing__ZYCZ30C0.mp4,82.418675,1
17_08__outside_talking_still_laughing__PBVFRHF5.mp4,98.117691,1
27_26__podium_speech_happy__IE9N0ZI9.mp4,99.276814,1
04_21__talking_angry_couch__5Y31RZP8.mp4,85.210908,1
